name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status
MEG 001	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 002	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 003	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 004	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 005	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 006	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 007	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 008	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 009	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 010	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 011	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 012	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 013	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 014	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 015	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 016	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 017	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 018	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 019	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 020	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 021	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 022	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 023	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 024	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 025	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 026	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 027	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 028	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 029	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 030	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 031	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 032	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 033	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 034	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 035	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 036	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 037	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 038	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 039	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 040	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 041	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 042	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 043	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 044	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 045	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 046	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 047	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 048	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
