name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status
MEG 049	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 050	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 051	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 052	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 053	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 054	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 055	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 056	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 057	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 058	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 059	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 060	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 061	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 062	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 063	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 064	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 065	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 066	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 067	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 068	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 069	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 070	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 071	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 072	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 073	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 074	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 075	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 076	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 077	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 078	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 079	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 080	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 081	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 082	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 083	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 084	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 085	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 086	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 087	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 088	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 089	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 090	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 091	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 092	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 093	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 094	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 095	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 096	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 097	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 098	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 099	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 100	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 101	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 102	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 103	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 104	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 105	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 106	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 107	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 108	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 109	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 110	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 111	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 112	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 113	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 114	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 115	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 116	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 117	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 118	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 119	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 120	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 121	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 122	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 123	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 124	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 125	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 126	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 127	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 128	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 129	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 130	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 131	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 132	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 133	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 134	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 135	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 136	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 137	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 138	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 139	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 140	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 141	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 142	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 143	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 144	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 145	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 146	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 147	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 148	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 149	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 150	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 151	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 152	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 153	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 154	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 155	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 156	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 157	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 158	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 159	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 160	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 161	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 162	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 163	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 164	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 165	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 166	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 167	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 168	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 169	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 170	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 171	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 172	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 173	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 174	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 175	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 176	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 177	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 178	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 179	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 180	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 181	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 182	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 183	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 184	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 185	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 186	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 187	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 188	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 189	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 190	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 191	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 192	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 193	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 194	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 195	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 196	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 197	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 198	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 199	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 200	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 201	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 202	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 203	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 204	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 205	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 206	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 207	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 208	MEGGRADAXIAL	T	0.5099999904632568	40.0	Axial Gradiometer	1000.0	good
MEG 209	MEGREFMAG	T	0.5099999904632568	40.0	Magnetometer Reference	1000.0	good
MEG 210	MEGREFMAG	T	0.5099999904632568	40.0	Magnetometer Reference	1000.0	good
MEG 211	MEGREFMAG	T	0.5099999904632568	40.0	Magnetometer Reference	1000.0	good
MEG 212	MEGREFMAG	T	0.5099999904632568	40.0	Magnetometer Reference	1000.0	good
MEG 213	MEGREFMAG	T	0.5099999904632568	40.0	Magnetometer Reference	1000.0	good
MEG 214	MEGREFMAG	T	0.5099999904632568	40.0	Magnetometer Reference	1000.0	good
MEG 215	MEGREFMAG	T	0.5099999904632568	40.0	Magnetometer Reference	1000.0	good
MEG 216	MEGREFMAG	T	0.5099999904632568	40.0	Magnetometer Reference	1000.0	good
MEG 217	MEGREFMAG	T	0.5099999904632568	40.0	Magnetometer Reference	1000.0	good
MEG 218	MEGREFMAG	T	0.5099999904632568	40.0	Magnetometer Reference	1000.0	good
MEG 219	MEGREFMAG	T	0.5099999904632568	40.0	Magnetometer Reference	1000.0	good
MEG 220	MEGREFMAG	T	0.5099999904632568	40.0	Magnetometer Reference	1000.0	good
MEG 221	MEGREFMAG	T	0.5099999904632568	40.0	Magnetometer Reference	1000.0	good
MEG 222	MEGREFMAG	T	0.5099999904632568	40.0	Magnetometer Reference	1000.0	good
MEG 223	MEGREFMAG	T	0.5099999904632568	40.0	Magnetometer Reference	1000.0	good
MEG 224	MEGREFMAG	T	0.5099999904632568	40.0	Magnetometer Reference	1000.0	good
MISC 001	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 002	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 003	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 004	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 005	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 006	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 007	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 008	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 009	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 010	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 011	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 012	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 013	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 014	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 015	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 016	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 017	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 018	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 019	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 020	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 021	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 022	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 023	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 024	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 025	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 026	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 027	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 028	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 029	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 030	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 031	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
MISC 032	MISC	V	0.5099999904632568	40.0	Miscellaneous	1000.0	good
STI 014	TRIG	n/a	0.5099999904632568	40.0	Trigger	1000.0	good
